File,WaveData20240328_004.csv,
1502.806700,4.9200E-009,1502.806700,1.0900E-005,1502.806700,-2.8510E-009,1502.806700,-1.1050E-009,1502.806700,-1.1050E-009
1502.857600,3.3070E-009,1502.857600,1.0990E-005,1502.857600,4.2510E-009,1502.857600,2.7950E-008,1502.857600,2.7950E-008
1502.908500,1.1060E-008,1502.908500,1.1080E-005,1502.908500,-1.8880E-009,1502.908500,1.5390E-008,1502.908500,1.5390E-008
1502.959400,6.3090E-009,1502.959400,1.1160E-005,1502.959400,1.6380E-009,1502.959400,9.2100E-009,1502.959400,9.2100E-009
1503.010300,2.3880E-008,1503.010300,1.1250E-005,1503.010300,-2.0640E-009,1503.010300,9.5940E-009,1503.010300,9.5940E-009
1503.061200,2.1470E-008,1503.061200,1.1330E-005,1503.061200,1.2660E-009,1503.061200,7.4490E-009,1503.061200,7.4490E-009
1503.112100,2.9330E-008,1503.112100,1.1440E-005,1503.112100,3.5740E-010,1503.112100,3.0670E-008,1503.112100,3.0670E-008
1503.163000,1.2930E-008,1503.163000,1.1550E-005,1503.163000,-1.3270E-009,1503.163000,2.1100E-009,1503.163000,2.1100E-009
1503.213900,-4.4010E-010,1503.213900,1.1620E-005,1503.213900,-2.6880E-010,1503.213900,1.2280E-008,1503.213900,1.2280E-008
1503.264800,1.4200E-008,1503.264800,1.1700E-005,1503.264800,2.0160E-009,1503.264800,-4.6610E-009,1503.264800,-4.6610E-009
1503.315700,2.4960E-008,1503.315700,1.1790E-005,1503.315700,2.5760E-009,1503.315700,2.4220E-008,1503.315700,2.4220E-008
1503.366600,-1.1180E-008,1503.366600,1.1880E-005,1503.366600,-7.0300E-009,1503.366600,1.6800E-008,1503.366600,1.6800E-008
1503.417500,1.6050E-008,1503.417500,1.1970E-005,1503.417500,2.7730E-009,1503.417500,6.8500E-009,1503.417500,6.8500E-009
1503.468400,1.0100E-008,1503.468400,1.2070E-005,1503.468400,1.9000E-009,1503.468400,1.3060E-008,1503.468400,1.3060E-008
1503.519300,9.4920E-009,1503.519300,1.2150E-005,1503.519300,4.5810E-009,1503.519300,-1.2830E-008,1503.519300,-1.2830E-008
1503.570200,3.2670E-008,1503.570200,1.2250E-005,1503.570200,1.2110E-009,1503.570200,-1.1950E-009,1503.570200,-1.1950E-009
1503.621100,3.8610E-008,1503.621100,1.2330E-005,1503.621100,3.5450E-009,1503.621100,1.6700E-008,1503.621100,1.6700E-008
1503.672000,1.4510E-008,1503.672000,1.2410E-005,1503.672000,2.6550E-009,1503.672000,1.7170E-008,1503.672000,1.7170E-008
1503.722900,-9.9100E-009,1503.722900,1.2520E-005,1503.722900,3.9020E-009,1503.722900,-5.2370E-009,1503.722900,-5.2370E-009
1503.773800,1.1550E-008,1503.773800,1.2610E-005,1503.773800,8.1120E-009,1503.773800,1.0990E-008,1503.773800,1.0990E-008
1503.824700,2.4930E-008,1503.824700,1.2710E-005,1503.824700,1.1890E-008,1503.824700,2.6410E-008,1503.824700,2.6410E-008
1503.875600,6.9520E-009,1503.875600,1.2820E-005,1503.875600,2.4770E-009,1503.875600,6.8390E-009,1503.875600,6.8390E-009
1503.926500,1.6800E-008,1503.926500,1.2890E-005,1503.926500,5.2510E-009,1503.926500,-1.1730E-009,1503.926500,-1.1730E-009
1503.977400,3.5090E-008,1503.977400,1.3000E-005,1503.977400,2.2550E-009,1503.977400,2.2900E-008,1503.977400,2.2900E-008
1504.028300,5.4510E-009,1504.028300,1.3090E-005,1504.028300,5.1510E-011,1504.028300,2.4170E-008,1504.028300,2.4170E-008
1504.079200,7.5620E-009,1504.079200,1.3180E-005,1504.079200,-5.5980E-009,1504.079200,-1.6920E-009,1504.079200,-1.6920E-009
1504.130100,-6.6710E-009,1504.130100,1.3270E-005,1504.130100,1.8060E-009,1504.130100,3.1700E-009,1504.130100,3.1700E-009
1504.181000,2.6590E-008,1504.181000,1.3380E-005,1504.181000,1.0730E-009,1504.181000,1.4980E-008,1504.181000,1.4980E-008
1504.231900,1.4730E-008,1504.231900,1.3470E-005,1504.231900,2.3090E-009,1504.231900,1.8510E-008,1504.231900,1.8510E-008
1504.282800,-6.3770E-009,1504.282800,1.3560E-005,1504.282800,1.2230E-009,1504.282800,-5.5070E-009,1504.282800,-5.5070E-009
1504.333700,3.1260E-009,1504.333700,1.3660E-005,1504.333700,3.2610E-009,1504.333700,6.8730E-009,1504.333700,6.8730E-009
1504.384600,2.1560E-008,1504.384600,1.3750E-005,1504.384600,4.6360E-009,1504.384600,1.0610E-008,1504.384600,1.0610E-008
1504.435500,-3.4710E-008,1504.435500,1.3850E-005,1504.435500,-9.5910E-010,1504.435500,-7.3250E-009,1504.435500,-7.3250E-009
1504.486400,1.3760E-008,1504.486400,1.3950E-005,1504.486400,1.7760E-009,1504.486400,7.5500E-009,1504.486400,7.5500E-009
1504.537300,-1.6020E-008,1504.537300,1.4050E-005,1504.537300,1.3970E-009,1504.537300,9.0630E-009,1504.537300,9.0630E-009
1504.588200,6.2870E-009,1504.588200,1.4150E-005,1504.588200,2.3320E-009,1504.588200,-9.7970E-009,1504.588200,-9.7970E-009
1504.639100,1.2000E-008,1504.639100,1.4240E-005,1504.639100,-5.3660E-010,1504.639100,1.1730E-008,1504.639100,1.1730E-008
1504.690000,-5.7330E-009,1504.690000,1.4340E-005,1504.690000,5.2660E-009,1504.690000,5.3500E-009,1504.690000,5.3500E-009
1504.740900,1.4100E-009,1504.740900,1.4430E-005,1504.740900,-7.5610E-010,1504.740900,9.5370E-009,1504.740900,9.5370E-009
1504.791800,7.6300E-009,1504.791800,1.4530E-005,1504.791800,-2.9760E-010,1504.791800,9.5030E-009,1504.791800,9.5030E-009
1504.842700,6.6250E-009,1504.842700,1.4640E-005,1504.842700,6.4680E-010,1504.842700,1.3760E-009,1504.842700,1.3760E-009
1504.893600,1.1870E-008,1504.893600,1.4730E-005,1504.893600,5.2340E-009,1504.893600,6.0040E-009,1504.893600,6.0040E-009
1504.944500,8.5890E-009,1504.944500,1.4820E-005,1504.944500,1.9010E-009,1504.944500,9.2550E-010,1504.944500,9.2550E-010
1504.995400,3.8030E-009,1504.995400,1.4920E-005,1504.995400,5.7600E-009,1504.995400,-1.7490E-009,1504.995400,-1.7490E-009
1505.046300,9.5940E-010,1505.046300,1.5020E-005,1505.046300,4.4310E-009,1505.046300,1.1190E-008,1505.046300,1.1190E-008
1505.097200,8.4540E-009,1505.097200,1.5110E-005,1505.097200,6.2950E-009,1505.097200,7.4380E-009,1505.097200,7.4380E-009
1505.148100,6.2870E-009,1505.148100,1.5210E-005,1505.148100,1.1890E-009,1505.148100,9.7970E-009,1505.148100,9.7970E-009
1505.199000,-8.2170E-009,1505.199000,1.5310E-005,1505.199000,1.6310E-009,1505.199000,1.1110E-008,1505.199000,1.1110E-008
1505.249900,3.6450E-009,1505.249900,1.5420E-005,1505.249900,3.8920E-009,1505.249900,3.5770E-009,1505.249900,3.5770E-009
1505.300800,8.6460E-009,1505.300800,1.5510E-005,1505.300800,1.4670E-009,1505.300800,6.2870E-009,1505.300800,6.2870E-009
1505.351700,5.8690E-009,1505.351700,1.5610E-005,1505.351700,2.4500E-009,1505.351700,1.6790E-008,1505.351700,1.6790E-008
1505.402600,1.1540E-008,1505.402600,1.5700E-005,1505.402600,-1.2450E-010,1505.402600,1.3490E-008,1505.402600,1.3490E-008
1505.453500,7.1660E-009,1505.453500,1.5800E-005,1505.453500,2.5480E-009,1505.453500,1.0600E-009,1505.453500,1.0600E-009
1505.504400,4.1420E-009,1505.504400,1.5910E-005,1505.504400,2.2020E-009,1505.504400,1.6660E-008,1505.504400,1.6660E-008
1505.555300,4.4740E-008,1505.555300,1.6010E-005,1505.555300,3.8480E-009,1505.555300,-3.8260E-009,1505.555300,-3.8260E-009
1505.606200,-1.3990E-008,1505.606200,1.6090E-005,1505.606200,-1.9560E-010,1505.606200,3.6110E-009,1505.606200,3.6110E-009
1505.657100,-1.7490E-008,1505.657100,1.6190E-005,1505.657100,8.6870E-009,1505.657100,5.2140E-009,1505.657100,5.2140E-009
1505.708000,-5.1910E-010,1505.708000,1.6280E-005,1505.708000,1.0550E-009,1505.708000,6.4330E-009,1505.708000,6.4330E-009
1505.758900,2.3610E-008,1505.758900,1.6380E-005,1505.758900,3.4600E-009,1505.758900,1.9700E-008,1505.758900,1.9700E-008
1505.809800,-6.0940E-010,1505.809800,1.6480E-005,1505.809800,6.6740E-009,1505.809800,3.6900E-009,1505.809800,3.6900E-009
1505.860700,3.3370E-009,1505.860700,1.6560E-005,1505.860700,1.4210E-008,1505.860700,2.2270E-008,1505.860700,2.2270E-008
1505.911600,1.7830E-008,1505.911600,1.6670E-005,1505.911600,2.5180E-009,1505.911600,-6.6520E-010,1505.911600,-6.6520E-010
1505.962500,7.9380E-009,1505.962500,1.6770E-005,1505.962500,3.9310E-010,1505.962500,1.7330E-008,1505.962500,1.7330E-008
1506.013400,1.7930E-008,1506.013400,1.6860E-005,1506.013400,-1.3100E-009,1506.013400,5.6140E-009,1506.013400,5.6140E-009
1506.064300,-2.2660E-009,1506.064300,1.6970E-005,1506.064300,-2.6290E-009,1506.064300,9.1330E-010,1506.064300,9.1330E-010
1506.115200,-2.3110E-009,1506.115200,1.7060E-005,1506.115200,9.9520E-010,1506.115200,-7.7120E-009,1506.115200,-7.7120E-009
1506.166100,-6.4260E-009,1506.166100,1.7160E-005,1506.166100,-1.4530E-009,1506.166100,2.0930E-008,1506.166100,2.0930E-008
1506.217000,1.1760E-008,1506.217000,1.7250E-005,1506.217000,6.6910E-009,1506.217000,1.2550E-008,1506.217000,1.2550E-008
1506.267900,1.5810E-008,1506.267900,1.7350E-005,1506.267900,2.1340E-009,1506.267900,7.3510E-009,1506.267900,7.3510E-009
1506.318800,-3.6410E-009,1506.318800,1.7440E-005,1506.318800,1.4710E-010,1506.318800,5.7500E-010,1506.318800,5.7500E-010
1506.369700,5.7160E-009,1506.369700,1.7540E-005,1506.369700,-1.2550E-009,1506.369700,7.5090E-009,1506.369700,7.5090E-009
1506.420600,1.4120E-008,1506.420600,1.7640E-005,1506.420600,1.9250E-009,1506.420600,1.6760E-008,1506.420600,1.6760E-008
1506.471500,1.4070E-008,1506.471500,1.7730E-005,1506.471500,1.2920E-009,1506.471500,5.5240E-010,1506.471500,5.5240E-010
1506.522400,2.0190E-008,1506.522400,1.7830E-005,1506.522400,2.9670E-009,1506.522400,-1.2400E-009,1506.522400,-1.2400E-009
1506.573300,2.3700E-008,1506.573300,1.7930E-005,1506.573300,9.4270E-010,1506.573300,7.6440E-009,1506.573300,7.6440E-009
1506.624200,6.4720E-009,1506.624200,1.8030E-005,1506.624200,6.5340E-010,1506.624200,1.0160E-008,1506.624200,1.0160E-008
1506.675100,1.4080E-009,1506.675100,1.8110E-005,1506.675100,-1.5840E-009,1506.675100,1.1660E-008,1506.675100,1.1660E-008
1506.726000,1.9210E-008,1506.726000,1.8200E-005,1506.726000,1.1640E-008,1506.726000,1.8340E-008,1506.726000,1.8340E-008
1506.776900,1.4640E-008,1506.776900,1.8300E-005,1506.776900,2.6720E-009,1506.776900,2.0960E-009,1506.776900,2.0960E-009
1506.827800,1.6360E-008,1506.827800,1.8400E-005,1506.827800,4.1130E-009,1506.827800,1.8660E-008,1506.827800,1.8660E-008
1506.878700,5.2540E-009,1506.878700,1.8490E-005,1506.878700,6.0430E-009,1506.878700,1.4730E-008,1506.878700,1.4730E-008
1506.929600,2.1980E-008,1506.929600,1.8580E-005,1506.929600,2.2940E-009,1506.929600,1.5440E-008,1506.929600,1.5440E-008
1506.980500,2.0790E-008,1506.980500,1.8670E-005,1506.980500,2.1130E-009,1506.980500,1.6280E-008,1506.980500,1.6280E-008
1507.031400,1.9010E-008,1507.031400,1.8760E-005,1507.031400,-6.8940E-010,1507.031400,1.3120E-008,1507.031400,1.3120E-008
1507.082300,2.4830E-008,1507.082300,1.8850E-005,1507.082300,6.3090E-009,1507.082300,7.6900E-009,1507.082300,7.6900E-009
1507.133200,2.7040E-008,1507.133200,1.8950E-005,1507.133200,1.3910E-008,1507.133200,9.5050E-009,1507.133200,9.5050E-009
1507.184100,4.0090E-008,1507.184100,1.9040E-005,1507.184100,9.4800E-009,1507.184100,1.4650E-008,1507.184100,1.4650E-008
1507.235000,1.5360E-008,1507.235000,1.9120E-005,1507.235000,1.2130E-009,1507.235000,2.7540E-008,1507.235000,2.7540E-008
1507.285900,5.8050E-008,1507.285900,1.9230E-005,1507.285900,4.0040E-009,1507.285900,1.9740E-008,1507.285900,1.9740E-008
1507.336800,1.7600E-008,1507.336800,1.9320E-005,1507.336800,5.1510E-009,1507.336800,2.2720E-008,1507.336800,2.2720E-008
1507.387700,1.8120E-008,1507.387700,1.9420E-005,1507.387700,4.7420E-009,1507.387700,2.0130E-008,1507.387700,2.0130E-008
1507.438600,-1.7690E-008,1507.438600,1.9500E-005,1507.438600,5.5580E-009,1507.438600,2.9330E-008,1507.438600,2.9330E-008
1507.489500,9.7870E-009,1507.489500,1.9590E-005,1507.489500,5.3930E-009,1507.489500,1.3480E-008,1507.489500,1.3480E-008
1507.540400,3.2540E-008,1507.540400,1.9700E-005,1507.540400,5.1990E-009,1507.540400,1.6320E-008,1507.540400,1.6320E-008
1507.591300,7.5540E-009,1507.591300,1.9780E-005,1507.591300,4.1030E-009,1507.591300,5.6380E-009,1507.591300,5.6380E-009
1507.642200,5.0400E-009,1507.642200,1.9880E-005,1507.642200,3.3640E-009,1507.642200,-1.3290E-009,1507.642200,-1.3290E-009
1507.693100,2.2000E-008,1507.693100,1.9960E-005,1507.693100,5.3940E-009,1507.693100,1.5270E-008,1507.693100,1.5270E-008
1507.744000,1.1170E-008,1507.744000,2.0040E-005,1507.744000,2.9960E-009,1507.744000,-6.0660E-009,1507.744000,-6.0660E-009
1507.794900,3.9850E-008,1507.794900,2.0130E-005,1507.794900,3.8430E-009,1507.794900,9.4940E-009,1507.794900,9.4940E-009
